Depth      CNPOR        DPOR         GR         RHOB        RHOC        RILD        RILM        RLL3       RxoRt         SP         SSD         DCAL        ABHV         DT         ITT        MEL15       MEL20       MELCAL       SPOR        TBHV    
    51.5000     32.4203     53.9684     60.5492      1.7871     -0.8514     20.3775 100000.0000      0.2312    175.0654    126.0750    353.8956   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    52.0000     31.7529     52.8525     52.0204      1.8062     -0.8481     20.3875 100000.0000      0.2320    174.9465    125.8966    352.6379   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    52.5000     28.7743     52.1393     50.2003      1.8184     -0.8471     20.1428 100000.0000      0.2311    174.6250    125.6501    351.1877   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    53.0000     26.2306     51.6224     45.4013      1.8273     -0.8463     19.8500 100000.0000      0.2296    174.3170    125.5521    350.1364   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    53.5000     24.8046     51.4068     40.0882      1.8309     -0.8460     19.6276 100000.0000      0.2290    173.9782    125.7136    349.7123   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    54.0000     29.3316     51.9115     44.4078      1.8223     -0.8490     19.6337 100000.0000      0.2288    174.0206    126.0292    349.3081   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    54.5000     38.2493     52.7585     48.6789      1.8078     -0.8508     19.5839 100000.0000      0.2285    173.9671    126.2504    350.7006   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    55.0000     43.8286     52.7723     46.9284      1.8076     -0.8391     19.3292 100000.0000      0.2287    173.4241    126.2203    358.0511   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    55.5000     40.2594     51.3167     44.4007      1.8325     -0.8096     18.8927 100000.0000      0.2286    172.5455    126.0147    372.6737   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    56.0000     29.7508     49.0365     50.8932      1.8715     -0.7721     18.7873 100000.0000      0.2288    172.3024    125.8531    390.7296   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    56.5000     25.8031     47.5153     62.7796      1.8975     -0.7438     18.8467 100000.0000      0.2287    172.4381    125.8904    405.5545   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
